domain,category_code,category_description,explorer_url
kavkazweb.net,NEWS,News Media,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fkavkazweb.net%2F
www.aceshigh.com,GMB,Gambling,https://explorer.ooni.org/measurement/20220412T050012Z_webconnectivity_RU_48642_n1_MJByYEHokpBM84El?input=http%3A%2F%2Fwww.aceshigh.com%2F
www.usacasino.com,GMB,Gambling,https://explorer.ooni.org/measurement/20220101T000420Z_webconnectivity_RU_51604_n1_oD4JbgzXGo0o8XwL?input=http%3A%2F%2Fwww.usacasino.com%2F
haamash.wordpress.com,MILX,Terrorism and Militants,https://explorer.ooni.org/measurement/20220316T005022Z_webconnectivity_RU_42668_n1_6ZkQ2TeXWqCckAwt?input=http%3A%2F%2Fhaamash.wordpress.com%2F
www.chechentimes.net,COMM,E-commerce,https://explorer.ooni.org/measurement/20220508T051517Z_webconnectivity_RU_48642_n1_MlK1p0DDMBXUZPEG?input=http%3A%2F%2Fwww.chechentimes.net%2F
www.riverbelle.com,GMB,Gambling,https://explorer.ooni.org/measurement/20220111T112734Z_webconnectivity_RU_12389_n1_X39YAXpMqKpqmPLN?input=http%3A%2F%2Fwww.riverbelle.com%2F
www.luckynugget.com,GMB,Gambling,https://explorer.ooni.org/measurement/20220817T212315Z_webconnectivity_RU_12714_n1_JGk8BuRJhLgiobSo?input=http%3A%2F%2Fwww.luckynugget.com%2F
www.grandonline.com,GMB,Gambling,https://explorer.ooni.org/measurement/20220111T112734Z_webconnectivity_RU_12389_n1_X39YAXpMqKpqmPLN?input=http%3A%2F%2Fwww.grandonline.com%2F
xs.gay.ru,LGBT,LGBT,https://explorer.ooni.org/measurement/20220101T000420Z_webconnectivity_RU_51604_n1_oD4JbgzXGo0o8XwL?input=http%3A%2F%2Fxs.gay.ru%2F
www.islamdin.biz,HATE,Hate Speech,https://explorer.ooni.org/measurement/20220101T001851Z_webconnectivity_RU_41668_n1_FLqBg7KcZ4yaUlA6?input=http%3A%2F%2Fwww.islamdin.biz%2F
zhurnal.lib.ru,CULTR,Culture,https://explorer.ooni.org/measurement/20220215T102104Z_webconnectivity_RU_25513_n1_VJoxXvDYTIEYGg1Q?input=http%3A%2F%2Fzhurnal.lib.ru%2F
love.mail.ru,DATE,Online Dating,https://explorer.ooni.org/measurement/20220101T020029Z_webconnectivity_RU_15493_n1_Vlz61131nZozNVJu?input=https%3A%2F%2Flove.mail.ru%2F
www.pokerroom.com,GMB,Gambling,https://explorer.ooni.org/measurement/20220215T114936Z_webconnectivity_RU_25513_n1_oc7o9xuUVCfnjALu?input=http%3A%2F%2Fwww.pokerroom.com%2F
kazak-chita.ru,COMM,E-commerce,https://explorer.ooni.org/measurement/20220701T165955Z_webconnectivity_RU_49368_n1_BooG1loHqPckJBYd?input=http%3A%2F%2Fkazak-chita.ru%2F
www.luwaran.net,REL,Religion,https://explorer.ooni.org/measurement/20220117T102840Z_webconnectivity_RU_20632_n1_0Smkq1hCyhulVDlZ?input=http%3A%2F%2Fwww.luwaran.net%2F
www.marijuana.com,ALDR,Alcohol & Drugs,https://explorer.ooni.org/measurement/20220111T184713Z_webconnectivity_RU_51604_n1_Xr0S8IWczl8Lx8Pm?input=http%3A%2F%2Fwww.marijuana.com%2F
www.national-socialist.tk,POLR,Political Criticism,https://explorer.ooni.org/measurement/20220215T201601Z_webconnectivity_RU_41733_n1_Ul5UXssnZaUkn3dC?input=http%3A%2F%2Fwww.national-socialist.tk%2F
abs.twimg.com,GRP,Social Networking,https://explorer.ooni.org/measurement/20220818T100550Z_webconnectivity_RU_42511_n1_r0NCpSF9jYBzk1wB?input=https%3A%2F%2Fabs.twimg.com%2Fsticky%2Fdefault_profile_images%2Fdefault_profile_normal.png
pbs.twimg.com,GRP,Social Networking,https://explorer.ooni.org/measurement/20220818T110553Z_webconnectivity_RU_42511_n1_lxqQWoIljcS3cUTI?input=https%3A%2F%2Fpbs.twimg.com%2Fprofile_images%2F941658150889054208%2FlFeD3554_200x200.jpg
video.twimg.com,GRP,Social Networking,https://explorer.ooni.org/measurement/20220818T110553Z_webconnectivity_RU_42511_n1_lxqQWoIljcS3cUTI?input=https%3A%2F%2Fvideo.twimg.com%2Ftweet_video%2FEC6DSXDXsAEhHAa.mp4
www.postcards-for-iran.org,HUMR,Human Rights Issues,https://explorer.ooni.org/measurement/20220508T203543Z_webconnectivity_RU_59637_n1_qjlgMIl8kNB5wXoc?input=http%3A%2F%2Fwww.postcards-for-iran.org%2F
uploaded.to,FILE,File-sharing,https://explorer.ooni.org/measurement/20220101T064205Z_webconnectivity_RU_31163_n1_9oApnbC5THqIIi34?input=http%3A%2F%2Fuploaded.to%2F
www.islamdoor.com,REL,Religion,https://explorer.ooni.org/measurement/20220317T115043Z_webconnectivity_RU_12714_n1_9uojWDARJUoWLXg8?input=http%3A%2F%2Fwww.islamdoor.com%2F
playboy.com,PORN,Pornography,https://explorer.ooni.org/measurement/20230118T212230Z_webconnectivity_RU_25513_n1_Tf4A0rOEoq6UJTE9?input=http%3A%2F%2Fwww.playboy.com%2F
www.sexetc.org,XED,Sex Education,https://explorer.ooni.org/measurement/20230119T031832Z_webconnectivity_RU_25513_n1_DWhI5GKF0joTbyhP?input=https%3A%2F%2Fsexetc.org%2F
89.com,PORN,Pornography,https://explorer.ooni.org/measurement/20220317T052408Z_webconnectivity_RU_35807_n1_lbamoNw26qiQYuaI?input=http%3A%2F%2Fwww.89.com%2F
hustler.com,PORN,Pornography,https://explorer.ooni.org/measurement/20221005T062006Z_webconnectivity_RU_25513_n1_Yzpor7Mp2so7E2o5?input=http%3A%2F%2Fwww.hustler.com%2F
www.lingeriebowl.com,PROV,Provocative Attire,https://explorer.ooni.org/measurement/20220101T162208Z_webconnectivity_RU_20632_n1_5yZoz4M05w840XCZ?input=http%3A%2F%2Fwww.lingeriebowl.com%2F
torrentz.eu,FILE,File-sharing,https://explorer.ooni.org/measurement/20220120T180938Z_webconnectivity_RU_204297_n1_sMyQtgW0240lbtD5?input=https%3A%2F%2Ftorrentz.eu%2F
www.ng.ru,NEWS,News Media,https://explorer.ooni.org/measurement/20220420T220505Z_webconnectivity_RU_31213_n1_AmlPqQXYUbY31G1K?input=http%3A%2F%2Fwww.ng.ru%2F
triviasecurity.net,HACK,Hacking Tools,https://explorer.ooni.org/measurement/20220420T220505Z_webconnectivity_RU_31213_n1_AmlPqQXYUbY31G1K?input=http%3A%2F%2Ftriviasecurity.net%2F
www.ihf-hr.org,HUMR,Human Rights Issues,https://explorer.ooni.org/measurement/20220420T230946Z_webconnectivity_RU_31213_n1_c2KlvcX2YoR99IgP?input=http%3A%2F%2Fwww.ihf-hr.org%2F
www.ijm.org,HUMR,Human Rights Issues,https://explorer.ooni.org/measurement/20220420T230946Z_webconnectivity_RU_31213_n1_c2KlvcX2YoR99IgP?input=http%3A%2F%2Fwww.ijm.org%2F
www.kabobfest.com,NEWS,News Media,https://explorer.ooni.org/measurement/20220420T230946Z_webconnectivity_RU_31213_n1_c2KlvcX2YoR99IgP?input=http%3A%2F%2Fwww.kabobfest.com%2F
www.libertarium.ru,POLR,Political Criticism,https://explorer.ooni.org/measurement/20220420T230946Z_webconnectivity_RU_31213_n1_c2KlvcX2YoR99IgP?input=http%3A%2F%2Fwww.libertarium.ru%2Flibertarium%2Fsorm%2F
www.voanews.com,NEWS,News Media,https://explorer.ooni.org/measurement/20220420T230946Z_webconnectivity_RU_31213_n1_c2KlvcX2YoR99IgP?input=http%3A%2F%2Fwww.voanews.com%2F
secondlife.com,GRP,Social Networking,https://explorer.ooni.org/measurement/20220420T230946Z_webconnectivity_RU_31213_n1_c2KlvcX2YoR99IgP?input=http%3A%2F%2Fsecondlife.com%2F
onlybingo.com,GMB,Gambling,https://explorer.ooni.org/measurement/20220420T230946Z_webconnectivity_RU_31213_n1_c2KlvcX2YoR99IgP?input=http%3A%2F%2Fonlybingo.com%2F
www.beer.com,ALDR,Alcohol & Drugs,https://explorer.ooni.org/measurement/20220420T230946Z_webconnectivity_RU_31213_n1_c2KlvcX2YoR99IgP?input=http%3A%2F%2Fwww.beer.com%2F
www.budweiser.com,ALDR,Alcohol & Drugs,https://explorer.ooni.org/measurement/20220420T230946Z_webconnectivity_RU_31213_n1_c2KlvcX2YoR99IgP?input=http%3A%2F%2Fwww.budweiser.com%2F
ca-news.org,NEWS,News Media,https://explorer.ooni.org/measurement/20220420T230946Z_webconnectivity_RU_31213_n1_c2KlvcX2YoR99IgP?input=http%3A%2F%2Fca-news.org%2F
hromadske.dn.ua,NEWS,News Media,https://explorer.ooni.org/measurement/20220420T230946Z_webconnectivity_RU_31213_n1_c2KlvcX2YoR99IgP?input=http%3A%2F%2Fhromadske.dn.ua%2F
iyfnet.org,IGO,Intergovernmental Organizations,https://explorer.ooni.org/measurement/20220420T230946Z_webconnectivity_RU_31213_n1_c2KlvcX2YoR99IgP?input=http%3A%2F%2Fiyfnet.org%2F
ocsp.int-x3.letsencrypt.org,HOST,Hosting and Blogging Platforms,https://explorer.ooni.org/measurement/20220327T203856Z_webconnectivity_RU_12714_n1_xv0uS073yoDOePAV?input=http%3A%2F%2Focsp.int-x3.letsencrypt.org%2F
liveinternet.ru,NEWS,News Media,https://explorer.ooni.org/measurement/20220718T212631Z_webconnectivity_RU_12768_n1_QjD2g9chXgbdgAYi?input=https%3A%2F%2Fwww.liveinternet.ru%2F
www.anonym.to,ANON,Anonymization and circumvention tools,https://explorer.ooni.org/measurement/20220228T171331Z_webconnectivity_RU_41754_n1_q8sgAGNfGOsYBkY4?input=http%3A%2F%2Fanonym.to%2F
t.co,HOST,Hosting and Blogging Platforms,https://explorer.ooni.org/measurement/20220414T162454Z_webconnectivity_RU_48573_n1_rgI35fGeoIcN2bmI?input=https%3A%2F%2Ft.co%2F
www.backtrack-linux.org,HACK,Hacking Tools,https://explorer.ooni.org/measurement/20221022T033227Z_webconnectivity_RU_8427_n1_m8BkBE4ED8XAZz2J?input=http%3A%2F%2Fwww.backtrack-linux.org%2F
